#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_HUNGARY;Hungary-Croatia;Hongrie-Croatie;Ungarn-Kroatien;;Hungría-Croacia;;;;;x,,,,,,,,,,,,,
BM_HUNGARY_DESC;The death of the Ilyena Árpád, the childless Queen of Croatia, passes her Kingdom on to her brother László, King of Hungary. The union of Hungary-Croatia brings strength to the Magyars, but will László and this new-formed Baltic union be able to stand the test of time? Elsewhere in the world, Yusuf Almoravid, Sultan of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest--and if possible, reverse--the conquests that the kingdom of León-Castille has managed against the Muslims of Iberia.;La mort de la Ilyena Árpád, la Reine d'enfant de la Croatie, passe son Royaume à son frère László, roi de Hongrie. Le syndicat de la Hongrie-Croatie est un avantage pour les Magyars, mais László et cette nouvelle union formé Baltique être en mesure de résister à l'épreuve du temps? Ailleurs dans le monde, Yusuf almoravide, sultan de la Mauritanie, a commencé unir les peuples d'Afrique du Nord et sud de l'Espagne. Il cherche à contester - et, si possible, inverser - les conquêtes que le royaume de León-Castille a réussi contre les musulmans de l'Ibérie.;Der Tod des Ilyena Árpád, dem kinderlosen Königin von Kroatien, geht ihr Reich auf, um ihren Bruder László, König von Ungarn. Die Vereinigung der Ungarn-Kroatien bringt Kraft, die Magyaren, sondern László und dieses neu gebildeten Baltic Gewerkschaft der Lage sein, den Test der Zeit stehen? Anderswo in der Welt, Yusuf Almoraviden, Sultan von Mauretanien, hat damit begonnen, die Vereinigung der Völker in Nordafrika und im südlichen Iberia. Er versucht zu bestreiten - und wenn möglich, umzukehren - die Eroberungen, dass das Reich von León-Kastilien hat gegen die Muslime von Iberia verwaltet.;;La muerte del Ilyena Árpád, la reina sin hijos de Croacia, pasa a su reino a su hermano László, rey de Hungría. La unión de Hungría-Croacia da fuerza a los magiares, pero László y esto recién formado sindicato Báltico ser capaz de resistir el paso del tiempo? En otras partes del mundo, Yusuf almorávide, sultán de Mauritania, ha comenzado la unión de los pueblos del norte de África y el sur de la Península Ibérica. Él pretende impugnar - y si es posible, revertir - las conquistas que el reino de León-Castilla ha logrado contra los musulmanes de Iberia.;;;;;x,,,,,
BM_THE_ISLES;King of Dublin and the Isles;Roi de Dublin et les îles;König von Dublin und die Isles;;Rey de Dublín y las Islas;;;;;x,,,,,,,,,,,,,
BM_THE_ISLES_DESC;Gudrød Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hårdråde at Stamford Bridge, but Gudrød Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Rí ua Éire, High King of Ireland. But Gudrod is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;Gudrod Crovan, à la fois origine norvégienne et irlandaise, a finalement réussi à étendre son royaume de Mann et les îles d'inclure son droit d'aînesse, le Royaume de Dublin. Le jour des conquérants norvégiens est terminée, mort à l'échec de Harald Hårdråde à Stamford Bridge, mais Gudrod Crovan croit en tournant le dos cette horloge. De son pied à Dublin, il cherche à étendre et de nommer lui-même Ard Ri ua Éire, roi d'Irlande. Mais Gudrod n'est pas sans d'autres problèmes. Il détient les terres que Malcolm Dunkeld appelle le sien, et le roi d'Ecosse ne reculera pas de son droit d'aînesse facilement.;Gudrød Crovan, sowohl von norwegischen und irischer Abstammung, ist endlich in den Ausbau seines Reiches der Mann und die Inseln, um sein Geburtsrecht, das Königreich Dublin sind gelungen. Der Tag der norwegischen Eroberer ist vorbei, tot mit dem Scheitern der Harald Hårdråde an der Stamford Bridge, aber Gudrød Crovan glaubt an sich wieder, dass die Uhr. Von seinem Standbein in Dublin, versucht er, sich zu erweitern und zu benennen Ard Ri ua Éire, Hochkönigs von Irland. Aber Gudrod ist nicht ohne weitere Probleme. Er besitzt Ländereien, die Malcolm Dunkeld sein eigen nennt, und der schottische König wird nicht von seiner eigenen Geburtsrecht zurück leicht.;;Gudrød Crovan, tanto de ascendencia noruega e irlandesa, ha logrado por fin en la expansión de su Reino de Mann y las Islas de incluir su primogenitura, el Reino de Dublín. El día de los conquistadores de Noruega ha terminado, muerto con el fracaso de Harald Hardråde en Stamford Bridge, pero Gudrød Crovan cree en dar marcha atrás el reloj. Desde su punto de apoyo en Dublín, que busca ampliar y nombrarse Ard Rí ua Éire, rey de Irlanda. Pero Gudrod no deja de tener otros problemas. Posee tierras que Malcolm Dunkeld llama como propios, y el rey de Escocia no retrocederá de su primogenitura fácilmente.;;;;;x,,,,,
BM_NORWAY_1;The Collapse of the Isles;L'effondrement des îles;Der Zusammenbruch der Inseln;;El colapso de las Islas;;;;;x,,,,,,,,,,,,,
BM_NORWAY_1_DESC;The Kingdom that Gudrød Crovan worked his entire life to create is no more. Dead of the plague, Gudrød's Kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Gudrød's old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather the Hårdråde and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;Le Royaume que Gudrod Crovan a travaillé toute sa vie à créer n'est plus. Morts de la peste, le Royaume de Gudrod a fracturé. Alors que le roi Magnus III de Norvège a réaffirmé hégémonie sur beaucoup de vieille terre de Gudrod, Galloway et Dublin ont tous deux déclaré l'indépendance du roi de Norvège. Le nord de Albion se trouve dans le flux: Magnus sera en mesure de venger son grand-père vaincu le Hårdråde et terroriser les rives d'Albion à nouveau, ou sera Edgar, le jeune roi d'Ecosse, être en mesure d'utiliser cette transition à son avantage?;Das Königreich, dass Gudrød Crovan arbeitete sein ganzes Leben zu schaffen, ist nicht mehr. Toten der Pest, die Gudrød Königreich hat gebrochen. Während König Magnus III von Norwegen hat die Hegemonie über viel von Gudrød alten Land bekräftigte, Galloway und Dublin haben beide erklärt, die Unabhängigkeit von der norwegische König. Der Norden von Albion liegt in Strom: Magnus wird in der Lage sein, sein Großvater besiegte die Hårdråde zu rächen und terrorisieren die Ufer von Albion wieder, oder wird Edgar, der junge König von Schottland, in der Lage sein, um diesen Übergang zu seinem Vorteil nutzen?;;El Reino que Gudrød Crovan trabajó toda su vida a crear ya no existe. Los muertos de la peste, el Reino de Gudrød ha fracturado. Mientras que el rey Magnus III de Noruega ha reafirmado la hegemonía sobre la mayor parte de la antigua tierra de Gudrød, Galloway y Dublín han declarado tanto la independencia del rey noruego. El norte de Albion se encuentra en proceso de cambio: se Magnus poder vengar a su abuelo derrotado al Hardråde y aterrorizar a las costas de Albión, una vez más, o va a Edgar, el joven rey de Escocia, poder utilizar esta transición a su favor?;;;;;x,,,,,,,,
BM_EDGE_OF_KNIFE;The Edge of the Knife;Le tranchant du couteau;Die Schneide des Messers;;El filo de la navaja;;;;;x,,,,,,,,,,,,,
BM_EDGE_OF_KNIFE_DESC;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Sultanate is nearing total victory, with Alfonso of León-Castilla barely holding on to the north of España, and the Kingdom of Aragón-Navarra and the Duchy of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenoi have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward the independent Duchy of Armenia Minor. Iberia or Anatolia, Castille or Byzantium: will the heathens succeed in breaking the iron walls of Christianity to finally breech the interior of Europe?;Le monde occidental se tient sur le bord d'un couteau. Dans la péninsule ibérique, l'Almoravide Sultanat est presque une victoire totale, avec Alfonso de León-Castilla tenant à peine sur le nord de España, et le royaume d'Aragon-Navarre et le duché de Barcelone peine à survivre à la frontière française. À travers la Méditerranée, bien que la Comnènes ont pris le trône et combattre vaillamment contre les Turcs, Sultan Kilij Arslan détient une grande partie de l'Anatolie sous son emprise, et regarde avec des yeux gourmands vers le duché indépendant de l'Arménie Mineure. Iberia ou Anatolie, Castille ou Byzance: les païens vont réussir à briser les murs de fer du christianisme pour finalement culasse à l'intérieur de l'Europe?;Die westliche Welt steht auf der Kante eines Messers. In Iberia, die Almoraviden Sultanat ist kurz vor Gesamtsieg, mit Alfonso von Kastilien León-kaum mit auf den Norden von Spanien, und das Königreich Aragón-Navarra und dem Herzogtum von Barcelona kaum überleben an der Französisch Grenze. Über das Mittelmeer, obwohl der Komnenoi haben den Thron übernommen und kämpfen tapfer gegen die Türken, hält Sultan Kilij Arslan viel von Anatolien unter seinem Griff, und schaut mit gierigen Augen auf die unabhängige Herzogtum Kleinarmenien. Iberia oder Anatolien, Kastilien oder Byzanz: Werden die Heiden gelingt brechen die Eisenwände des Christentums, um endlich das Innere des Europa Beckenendlage?;;El mundo occidental se encuentra en el borde de un cuchillo. En Iberia, el almorávide Sultanato está a punto de la victoria total, con Alfonso de León-Castilla apenas aferrándose a la zona norte de España, y el Reino de Aragón-Navarra y el Ducado de Barcelona apenas sobreviviendo en la frontera francesa. Al otro lado del Mediterráneo, aunque el Komnenoi haber tomado el trono y luchar valientemente contra el turco, el sultán Kilij Arslan se encuentra gran parte de Anatolia bajo su dominio, y mira con ojos codiciosos hacia el ducado independiente de Armenia Menor. Iberia o Anatolia, Castilla o Bizancio: serán los paganos lograr romper las paredes de hierro del cristianismo para finalmente nalgas el interior de Europa?;;;;;x,,,,,,
BM_ANTIOCH;The First Crusade;La première croisade;Der erste Kreuzzug;;La Primera Cruzada;;;;;x,,,,,,,,,,,,,
BM_ANTIOCH_DESC;The Levant reels in the aftermath of the bloody conflict that is the First Crusade. In the north, the Principalities of Antioch and Edessa vie for superiority, both against the Muslims and each other. The Prince of Antioch, Bohemond, is in constant contention with Thoros, the Orthodox Duke of Armenia Minor, whose lands he has usurped. To the south, the infant Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor sheikhs dividing it from the Princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;Le Levant bobines à la suite du conflit sanglant qui est la première croisade. Dans le nord, les Principautés d'Antioche et d'Édesse rivalisent pour la supériorité, à la fois contre les musulmans et l'autre. Le prince d'Antioche, Bohémond, est en lice constante avec Thoros, le duc orthodoxe de l'Arménie Mineure, dont les terres qu'il a usurpé. Au sud, le nourrisson royaume de Jérusalem est équilibré contre le califat fatimide affaibli, le grand émirat de Damas, et les cheikhs mineures myriade divisant des Princes au nord. Puis les catholiques tenir assez longtemps pour unifier, ou faut une autre croisade être appelé à assurer une Terre sainte catholique?;Die Levante-Rollen in der Zeit nach dem blutigen Konflikt, der die ersten Kreuzzug ist. Im Norden, die Fürstentümer von Antiochien und Edessa wetteifern um Überlegenheit, die beide gegen die Muslime und zueinander. Der Fürst von Antiochia, Bohemund, ist in ständiger Auseinandersetzung mit Thoros, der orthodoxen Herzog von Klein-Armenien, deren Land er an sich gerissen hat. Im Süden ist der Säugling Königreich Jerusalem gegen die geschwächten Fatimiden, die große Emirat von Damaskus, und unzählige kleinere Scheichs Teilungs es von den Prinzen in den Norden ausgewogen. Kann die Katholiken halten lange genug, um zu vereinheitlichen, oder muss ein anderer Kreuzzug aufgerufen, um einen katholischen Heiligen Land zu sichern?;;El Levante carretes en las secuelas del sangriento conflicto que es la primera cruzada. En el norte, los principados de Antioquía y Edesa compiten por la superioridad, tanto en contra de los musulmanes y entre sí. El príncipe de Antioquía, Bohemundo, está en disputa permanente con Thoros, el duque ortodoxa de Armenia Menor, cuyas tierras ha usurpado. Hacia el sur, el infante Reino de Jerusalén es equilibrada contra el debilitado califato fatimí, la gran emirato de Damasco, y los jeques menores miríada dividiéndolo de los Príncipes al norte. ¿Pueden los católicos aguantar el tiempo suficiente para unificar, o debe ser llamado otra cruzada para asegurar una tierra santa católica?;;;;;x,,,
BM_JERUSALEM;Jerusalem at its Height;Jérusalem à sa hauteur;Jerusalem zu seiner Höhe;;Jerusalén en su apogeo;;;;;x,,,,,,,,,,,,,
